Superordinate,Basic Level,Subordinate_1,Subordinate_2
Musical Instrument,Guitar,Folk guitar,Classical guitar
Musical Instrument,Piano,Grand piano,Upright piano
Musical Instrument,Drum,Kettle drum,Base drum
Fruit,Apple,Delicious apple,Mackintosh apple
Fruit,Peach,Freestone peach,Cling peach
Fruit,Grapes,Concord grapes,Green seedless grapes
Tool,Hammer,Ball-peen hammer,Claw hammer
Tool,Saw,Hack hand saw,Cross-cutting hand saw
Tool,Screwdriver,Phillips screwdriver,Regular screwdriver
Clothing,Pants,Levis,Double knit pants
Clothing,Socks,Knee socks,Ankle socks
Clothing,Shirt,Dress shirt,Knit shirt
Furniture,Table,Kitchen table,Dining room table
Furniture,Lamp,Floor lamp,Desk lamp
Furniture,Chair,Kitchen chair,Living room chair
Vehicle,Car,Sports car,Four door sedan car
Vehicle,Bus,City bus,Cross country bus
Vehicle,Truck,Pick up truck,Tractor-trailer truck
Tree,Maple,Silver maple,Sugar maple
Tree,Birch,River birch,White birch
Tree,Oak,White oak,Red oak
Fish,Bass,Sea bass,Striped bass
Fish,Trout,Rainbow trout,Steelhead trout
Fish,Salmon,Blueback salmon,Chinook salmon
Bird,Cardinal,Easter cardinal,Grey tailed cardinal
Bird,Eagle,Bald eagle,Golden eagle
Bird,Sparrow,Song sparrow,Field sparrow
