preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-2.5408239364624023, -1.2704119682312012, [-2.487837791442871, -0.05298614501953125]), (-2.347837448120117, -1.1739187240600586, [-2.2708053588867188, -0.07703208923339844]), (-4.71977424621582, -2.35988712310791, [-4.631814956665039, -0.08795928955078125]), (-3.300351142883301, -1.6501755714416504, [-3.255263328552246, -0.04508781433105469]), (-2.7109832763671875, -1.3554916381835938, [-2.6740684509277344, -0.036914825439453125])]",335174458,bert-large-uncased
A top is a,toy.,top,toy,2,"[(-8.301642417907715, -4.150821208953857, [-8.268841743469238, -0.03280067443847656]), (-10.177691459655762, -5.088845729827881, [-10.10084056854248, -0.07685089111328125]), (-8.880953788757324, -4.440476894378662, [-8.762801170349121, -0.11815261840820312]), (-8.057092189788818, -4.028546094894409, [-7.979989528656006, -0.0771026611328125]), (-9.827548027038574, -4.913774013519287, [-9.78526782989502, -0.04228019714355469])]",335174458,bert-large-uncased
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-4.223561763763428, -2.111780881881714, [-4.133126735687256, -0.09043502807617188]), (-4.7750468254089355, -2.3875234127044678, [-4.770301342010498, -0.0047454833984375]), (-4.629807949066162, -2.314903974533081, [-4.577870845794678, -0.051937103271484375]), (-4.370911598205566, -2.185455799102783, [-4.35958194732666, -0.01132965087890625]), (-4.898360252380371, -2.4491801261901855, [-4.815680503845215, -0.08267974853515625])]",335174458,bert-large-uncased
A toy soldier is a,toy.,toy soldier,toy,4,"[(-1.3019542694091797, -0.6509771347045898, [-1.2525863647460938, -0.04936790466308594]), (-0.6157875061035156, -0.3078937530517578, [-0.5904006958007812, -0.025386810302734375]), (-0.48847103118896484, -0.24423551559448242, [-0.4760866165161133, -0.012384414672851562]), (-0.4479236602783203, -0.22396183013916016, [-0.3947296142578125, -0.05319404602050781]), (-2.190937042236328, -1.095468521118164, [-2.1731529235839844, -0.01778411865234375])]",335174458,bert-large-uncased
A yo-yo is a,toy.,yo-yo,toy,5,"[(-4.860600471496582, -2.430300235748291, [-4.836701393127441, -0.023899078369140625]), (-3.993557929992676, -1.996778964996338, [-3.9656190872192383, -0.0279388427734375]), (-4.105960845947266, -2.052980422973633, [-4.018991470336914, -0.08696937561035156]), (-4.747097492218018, -2.373548746109009, [-4.736423969268799, -0.01067352294921875]), (-4.447973251342773, -2.2239866256713867, [-4.430383682250977, -0.017589569091796875])]",335174458,bert-large-uncased
A block is a,toy.,block,toy,6,"[(-9.765769958496094, -4.882884979248047, [-9.698284149169922, -0.06748580932617188]), (-9.641998291015625, -4.8209991455078125, [-9.599897384643555, -0.04210090637207031]), (-10.248838424682617, -5.124419212341309, [-10.205364227294922, -0.04347419738769531]), (-10.149787902832031, -5.074893951416016, [-10.10743522644043, -0.04235267639160156]), (-11.25424861907959, -5.627124309539795, [-11.210368156433105, -0.043880462646484375])]",335174458,bert-large-uncased
Marbles are,toys.,marbles,toy,7,"[(-9.315476417541504, -4.657738208770752, [-9.264958381652832, -0.050518035888671875]), (-11.406577110290527, -5.703288555145264, [-11.2766695022583, -0.12990760803222656]), (-10.197552680969238, -5.098776340484619, [-10.183308601379395, -0.01424407958984375]), (-10.165852546691895, -5.082926273345947, [-10.055520057678223, -0.11033248901367188]), (-10.086000442504883, -5.043000221252441, [-9.973163604736328, -0.11283683776855469])]",335174458,bert-large-uncased
A rattle is a,toy.,rattle,toy,8,"[(-9.07609748840332, -4.53804874420166, [-9.030588150024414, -0.04550933837890625]), (-8.056718826293945, -4.028359413146973, [-8.029296875, -0.027421951293945312]), (-8.035043239593506, -4.017521619796753, [-7.919896602630615, -0.11514663696289062]), (-8.578330993652344, -4.289165496826172, [-8.530820846557617, -0.04751014709472656]), (-7.766689300537109, -3.8833446502685547, [-7.701173782348633, -0.06551551818847656])]",335174458,bert-large-uncased
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-0.6526451110839844, -0.3263225555419922, [-0.5799922943115234, -0.07265281677246094]), (-0.6886043548583984, -0.3443021774291992, [-0.5774555206298828, -0.11114883422851562]), (-0.37079334259033203, -0.18539667129516602, [-0.3211698532104492, -0.04962348937988281]), (-0.8717823028564453, -0.43589115142822266, [-0.8643703460693359, -0.007411956787109375]), (-0.9915132522583008, -0.4957566261291504, [-0.9723443984985352, -0.019168853759765625])]",335174458,bert-large-uncased
A water pistol is a,toy.,water pistol,toy,10,"[(-6.156527042388916, -3.078263521194458, [-6.106956958770752, -0.04957008361816406]), (-5.886893272399902, -2.943446636199951, [-5.8773393630981445, -0.009553909301757812]), (-6.166220664978027, -3.0831103324890137, [-6.122933387756348, -0.04328727722167969]), (-6.359569549560547, -3.1797847747802734, [-6.349514007568359, -0.0100555419921875]), (-6.731041431427002, -3.365520715713501, [-6.669388294219971, -0.06165313720703125])]",335174458,bert-large-uncased
