preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-5.668159484863281, -2.8340797424316406, [-3.4855728149414062, -2.182586669921875]), (-5.162010192871094, -2.581005096435547, [-3.2703475952148438, -1.89166259765625]), (-6.0738372802734375, -3.0369186401367188, [-4.207511901855469, -1.8663253784179688]), (-6.219444274902344, -3.109722137451172, [-4.055137634277344, -2.164306640625]), (-7.282875061035156, -3.641437530517578, [-4.362785339355469, -2.9200897216796875])]",124439808,gpt2
A top is a,toy.,top,toy,2,"[(-11.218124389648438, -5.609062194824219, [-8.470733642578125, -2.7473907470703125]), (-10.670356750488281, -5.335178375244141, [-8.390617370605469, -2.2797393798828125]), (-10.845603942871094, -5.422801971435547, [-8.094230651855469, -2.751373291015625]), (-10.380043029785156, -5.190021514892578, [-7.858123779296875, -2.5219192504882812]), (-10.6361083984375, -5.31805419921875, [-8.252632141113281, -2.3834762573242188])]",124439808,gpt2
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-10.480018615722656, -5.240009307861328, [-5.934806823730469, -4.5452117919921875]), (-10.108871459960938, -5.054435729980469, [-6.8949432373046875, -3.21392822265625]), (-10.844093322753906, -5.422046661376953, [-7.1434783935546875, -3.7006149291992188]), (-9.391845703125, -4.6959228515625, [-5.943122863769531, -3.4487228393554688]), (-8.658859252929688, -4.329429626464844, [-6.2944793701171875, -2.3643798828125])]",124439808,gpt2
A toy soldier is a,toy.,toy soldier,toy,4,"[(-7.9279327392578125, -3.9639663696289062, [-4.7158203125, -3.2121124267578125]), (-5.278076171875, -2.6390380859375, [-3.5235824584960938, -1.7544937133789062]), (-8.441696166992188, -4.220848083496094, [-3.3825531005859375, -5.05914306640625]), (-8.898170471191406, -4.449085235595703, [-5.3408203125, -3.5573501586914062]), (-8.5235595703125, -4.26177978515625, [-3.9966964721679688, -4.526863098144531])]",124439808,gpt2
A yo-yo is a,toy.,yo-yo,toy,5,"[(-8.605613708496094, -4.302806854248047, [-5.402275085449219, -3.203338623046875]), (-8.042945861816406, -4.021472930908203, [-5.759757995605469, -2.2831878662109375]), (-7.592292785644531, -3.7961463928222656, [-5.789710998535156, -1.802581787109375]), (-8.421821594238281, -4.210910797119141, [-5.159202575683594, -3.2626190185546875]), (-8.718780517578125, -4.3593902587890625, [-5.0146942138671875, -3.7040863037109375])]",124439808,gpt2
A block is a,toy.,block,toy,6,"[(-12.793663024902344, -6.396831512451172, [-10.31634521484375, -2.4773178100585938]), (-12.396560668945312, -6.198280334472656, [-9.83441162109375, -2.5621490478515625]), (-13.553924560546875, -6.7769622802734375, [-10.895645141601562, -2.6582794189453125]), (-12.727134704589844, -6.363567352294922, [-10.26544189453125, -2.4616928100585938]), (-13.226119995117188, -6.613059997558594, [-10.602523803710938, -2.62359619140625])]",124439808,gpt2
Marbles are,toys.,marbles,toy,7,"[(-14.092117309570312, -7.046058654785156, [-11.990432739257812, -2.1016845703125]), (-13.3502197265625, -6.67510986328125, [-10.993110656738281, -2.3571090698242188]), (-12.5472412109375, -6.27362060546875, [-10.435493469238281, -2.1117477416992188]), (-13.2999267578125, -6.64996337890625, [-10.904617309570312, -2.3953094482421875]), (-13.009437561035156, -6.504718780517578, [-10.621566772460938, -2.3878707885742188])]",124439808,gpt2
A rattle is a,toy.,rattle,toy,8,"[(-10.607086181640625, -5.3035430908203125, [-8.457550048828125, -2.1495361328125]), (-11.225013732910156, -5.612506866455078, [-7.777587890625, -3.4474258422851562]), (-10.421775817871094, -5.210887908935547, [-7.410423278808594, -3.0113525390625]), (-11.263771057128906, -5.631885528564453, [-8.50653076171875, -2.7572402954101562]), (-10.445465087890625, -5.2227325439453125, [-7.44549560546875, -2.999969482421875])]",124439808,gpt2
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-7.328498840332031, -3.6642494201660156, [-5.195655822753906, -2.132843017578125]), (-5.941154479980469, -2.9705772399902344, [-4.169715881347656, -1.7714385986328125]), (-6.8165740966796875, -3.4082870483398438, [-4.8475799560546875, -1.968994140625]), (-6.254066467285156, -3.127033233642578, [-3.6729507446289062, -2.58111572265625]), (-7.593536376953125, -3.7967681884765625, [-5.3549652099609375, -2.2385711669921875])]",124439808,gpt2
A water pistol is a,toy.,water pistol,toy,10,"[(-9.18109130859375, -4.590545654296875, [-6.890113830566406, -2.2909774780273438]), (-9.724922180175781, -4.862461090087891, [-6.776908874511719, -2.9480133056640625]), (-12.152420043945312, -6.076210021972656, [-7.655754089355469, -4.496665954589844]), (-11.221397399902344, -5.610698699951172, [-7.099853515625, -4.121543884277344]), (-10.696281433105469, -5.348140716552734, [-6.553680419921875, -4.142601013183594])]",124439808,gpt2
