preamble,stimulus,item,category,rank
A doll,is a toy.,doll,toy,1
A top,is a toy.,top,toy,2
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3
A toy soldier,is a toy.,toy soldier,toy,4
A yo-yo,is a toy.,yo-yo,toy,5
A block,is a toy.,block,toy,6
Marbles,are toys.,marbles,toy,7
A rattle,is a toy.,rattle,toy,8
A stuffed animal,is a toy.,stuffed animal,toy,9
A water pistol,is a toy.,water pistol,toy,10
A teddy bear,is a toy.,teddy bear,toy,11
A rocking horse,is a toy.,rocking horse,toy,12
A doll house,is a toy.,doll house,toy,13
A ball,is a toy.,ball,toy,14
Jacks,are toys.,jacks,toy,15
Paper dolls,are toys.,paper dolls,toy,16
An erector set,is a toy.,erector set,toy,17
A hula hoop,is a toy.,hula hoop,toy,18
A jump rope,is a toy.,jump rope,toy,19
A pogo stick,is a toy.,pogo stick,toy,20
A clay,is a toy.,clay,toy,21
A wagon,is a toy.,wagon,toy,22
A kite,is a toy.,kite,toy,23
A train,is a toy.,train,toy,24
A tricycle,is a toy.,tricycle,toy,25
A coloring book,is a toy.,coloring book,toy,26
Crayons,are toys.,crayons,toy,27
A truck,is a toy.,truck,toy,28
A puzzle,is a toy.,puzzle,toy,29
A fire engine,is a toy.,fire engine,toy,30
A balloon,is a toy.,balloon,toy,31
Skates,are toys.,skates,toy,32
A baseball,is a toy.,baseball,toy,33
A drum,is a toy.,drum,toy,34
A football,is a toy.,football,toy,35
A game,is a toy.,game,toy,36
A swing,is a toy.,swing,toy,37
A boat,is a toy.,boat,toy,38
A monopoly,is a toy.,monopoly,toy,39
A sled,is a toy.,sled,toy,40
A seesaw,is a toy.,seesaw,toy,41
Stilts,are toys.,stilts,toy,42
Checkers,are toys.,checkers,toy,43
A bat,is a toy.,bat,toy,44
A car,is a toy.,car,toy,45
An airplane,is a toy.,airplane,toy,46
A bicycle,is a toy.,bicycle,toy,47
A tractor,is a toy.,tractor,toy,48
A sandbox,is a toy.,sandbox,toy,49
A bike,is a toy.,bike,toy,50
A bow and arrow,is a toy.,bow and arrow,toy,51
A rope,is a toy.,rope,toy,52
Dishes,are toys.,dishes,toy,53
Cards,are toys.,cards,toy,54
A mitt,is a toy.,mitt,toy,55
A horse,is a toy.,horse,toy,56
A gun,is a toy.,gun,toy,57
Animals,are toys.,animals,toy,58
A tennis racket,is a toy.,tennis racket,toy,59
Books,are toys.,books,toy,60
A robin,is a bird.,robin,bird,1
A sparrow,is a bird.,sparrow,bird,2
A bluejay,is a bird.,bluejay,bird,3
A bluebird,is a bird.,bluebird,bird,4
A canary,is a bird.,canary,bird,5
A blackbird,is a bird.,blackbird,bird,6
A dove,is a bird.,dove,bird,7
A lark,is a bird.,lark,bird,8
A swallow,is a bird.,swallow,bird,9
A parakeet,is a bird.,parakeet,bird,10
An oriole,is a bird.,oriole,bird,11
A mockingbird,is a bird.,mockingbird,bird,12
A redbird,is a bird.,redbird,bird,13
A wren,is a bird.,wren,bird,14
A finch,is a bird.,finch,bird,15
A starling,is a bird.,starling,bird,16
A cardinal,is a bird.,cardinal,bird,17
An eagle,is a bird.,eagle,bird,18
A hummingbird,is a bird.,hummingbird,bird,19
A seagull,is a bird.,seagull,bird,20
A woodpecker,is a bird.,woodpecker,bird,21
A pigeon,is a bird.,pigeon,bird,22
A thrush,is a bird.,thrush,bird,23
A falcon,is a bird.,falcon,bird,24
A crow,is a bird.,crow,bird,25
A hawk,is a bird.,hawk,bird,26
A raven,is a bird.,raven,bird,27
A goldfinch,is a bird.,goldfinch,bird,28
A parrot,is a bird.,parrot,bird,29
A sandpiper,is a bird.,sandpiper,bird,30
A pheasant,is a bird.,pheasant,bird,31
A catbird,is a bird.,catbird,bird,32
A crane,is a bird.,crane,bird,33
Albatross,are birds.,albatross,bird,34
A condor,is a bird.,condor,bird,35
A toucan,is a bird.,toucan,bird,36
An owl,is a bird.,owl,bird,37
A pelican,is a bird.,pelican,bird,38
A goose,is a bird.,goose,bird,39
A vulture,is a bird.,vulture,bird,40
A stork,is a bird.,stork,bird,41
A buzzard,is a bird.,buzzard,bird,42
A swan,is a bird.,swan,bird,43
A flamingo,is a bird.,flamingo,bird,44
A duck,is a bird.,duck,bird,45
A peacock,is a bird.,peacock,bird,46
An egret,is a bird.,egret,bird,47
A chicken,is a bird.,chicken,bird,48
A turkey,is a bird.,turkey,bird,49
An ostrich,is a bird.,ostrich,bird,50
A titmouse,is a bird.,titmouse,bird,51
An emu,is a bird.,emu,bird,52
A penguin,is a bird.,penguin,bird,53
A bat,is a bird.,bat,bird,54
Football,is a sport.,football,sport,1
Baseball,is a sport.,baseball,sport,2
Basketball,is a sport.,basketball,sport,3
Tennis,is a sport.,tennis,sport,4
Softball,is a sport.,softball,sport,5
Canoeing,is a sport.,canoeing,sport,6
Handball,is a sport.,handball,sport,7
Rugby,is a sport.,rugby,sport,8
Hockey,is a sport.,hockey,sport,9
Ice hockey,is a sport.,ice hockey,sport,10
Swimming,is a sport.,swimming,sport,11
Track,is a sport.,track,sport,12
Boxing,is a sport.,boxing,sport,13
Volleyball,is a sport.,volleyball,sport,14
Lacrosse,is a sport.,lacrosse,sport,15
Skiing,is a sport.,skiing,sport,16
Golf,is a sport.,golf,sport,17
Polo,is a sport.,polo,sport,18
Surfing,is a sport.,surfing,sport,19
Wrestling,is a sport.,wrestling,sport,20
Gymnastics,is a sport.,gymnastics,sport,21
Cricket,is a sport.,cricket,sport,22
Squash,is a sport.,squash,sport,23
Badminton,is a sport.,badminton,sport,24
Racing,is a sport.,racing,sport,25
Pole vault,is a sport.,pole vault,sport,26
Fencing,is a sport.,fencing,sport,27
Bowling,is a sport.,bowling,sport,28
Water skiing,is a sport.,water skiing,sport,29
Ice skating,is a sport.,ice skating,sport,30
Jai alai,is a sport.,jai alai,sport,31
Skating,is a sport.,skating,sport,32
Skindiving,is a sport.,skindiving,sport,33
Sailing,is a sport.,sailing,sport,34
Diving,is a sport.,diving,sport,35
Archery,is a sport.,archery,sport,36
Judo,is a sport.,judo,sport,37
Car racing,is a sport.,car racing,sport,38
Ping pong,is a sport.,ping pong,sport,39
Rowing,is a sport.,rowing,sport,40
Fishing,is a sport.,fishing,sport,41
Horseback riding,is a sport.,horseback riding,sport,42
Running,is a sport.,running,sport,43
Horse racing,is a sport.,horse racing,sport,44
Hiking,is a sport.,hiking,sport,45
Weight lifting,is a sport.,weight lifting,sport,46
Croquet,is a sport.,croquet,sport,47
Horseshoes,is a sport.,horseshoes,sport,48
Boating,is a sport.,boating,sport,49
Pool,is a sport.,pool,sport,50
Billiards,is a sport.,billiards,sport,51
Hunting,is a sport.,hunting,sport,52
Jump rope,is a sport.,jump rope,sport,53
