preamble,stimulus,item,category,feature
A robin,is alive.,robin,bird,1
A sparrow,is alive.,sparrow,bird,1
A bluejay,is alive.,bluejay,bird,1
A bluebird,is alive.,bluebird,bird,1
A canary,is alive.,canary,bird,1
A blackbird,is alive.,blackbird,bird,1
A dove,is alive.,dove,bird,1
A lark,is alive.,lark,bird,1
A swallow,is alive.,swallow,bird,1
A parakeet,is alive.,parakeet,bird,1
An oriole,is alive.,oriole,bird,1
A mockingbird,is alive.,mockingbird,bird,1
A redbird,is alive.,redbird,bird,1
A wren,is alive.,wren,bird,1
A finch,is alive.,finch,bird,1
A starling,is alive.,starling,bird,1
A cardinal,is alive.,cardinal,bird,1
An eagle,is alive.,eagle,bird,1
A hummingbird,is alive.,hummingbird,bird,1
A seagull,is alive.,seagull,bird,1
A woodpecker,is alive.,woodpecker,bird,1
A pigeon,is alive.,pigeon,bird,1
A thrush,is alive.,thrush,bird,1
A falcon,is alive.,falcon,bird,1
A crow,is alive.,crow,bird,1
A hawk,is alive.,hawk,bird,1
A raven,is alive.,raven,bird,1
A goldfinch,is alive.,goldfinch,bird,1
A parrot,is alive.,parrot,bird,1
A sandpiper,is alive.,sandpiper,bird,1
A pheasant,is alive.,pheasant,bird,1
A catbird,is alive.,catbird,bird,1
A crane,is alive.,crane,bird,1
An albatross,is alive.,albatross,bird,1
A condor,is alive.,condor,bird,1
A toucan,is alive.,toucan,bird,1
An owl,is alive.,owl,bird,1
A pelican,is alive.,pelican,bird,1
A goose,is alive.,goose,bird,1
A vulture,is alive.,vulture,bird,1
A stork,is alive.,stork,bird,1
A buzzard,is alive.,buzzard,bird,1
A swan,is alive.,swan,bird,1
A flamingo,is alive.,flamingo,bird,1
A duck,is alive.,duck,bird,1
A peacock,is alive.,peacock,bird,1
An egret,is alive.,egret,bird,1
A chicken,is alive.,chicken,bird,1
A turkey,is alive.,turkey,bird,1
An ostrich,is alive.,ostrich,bird,1
A titmouse,is alive.,titmouse,bird,1
An emu,is alive.,emu,bird,1
A penguin,is alive.,penguin,bird,1
A bat,is alive.,bat,bird,1
A robin,flies.,robin,bird,2
A sparrow,flies.,sparrow,bird,2
A bluejay,flies.,bluejay,bird,2
A bluebird,flies.,bluebird,bird,2
A canary,flies.,canary,bird,2
A blackbird,flies.,blackbird,bird,2
A dove,flies.,dove,bird,2
A lark,flies.,lark,bird,2
A swallow,flies.,swallow,bird,2
A parakeet,flies.,parakeet,bird,2
An oriole,flies.,oriole,bird,2
A mockingbird,flies.,mockingbird,bird,2
A redbird,flies.,redbird,bird,2
A wren,flies.,wren,bird,2
A finch,flies.,finch,bird,2
A starling,flies.,starling,bird,2
A cardinal,flies.,cardinal,bird,2
An eagle,flies.,eagle,bird,2
A hummingbird,flies.,hummingbird,bird,2
A seagull,flies.,seagull,bird,2
A woodpecker,flies.,woodpecker,bird,2
A pigeon,flies.,pigeon,bird,2
A thrush,flies.,thrush,bird,2
A falcon,flies.,falcon,bird,2
A crow,flies.,crow,bird,2
A hawk,flies.,hawk,bird,2
A raven,flies.,raven,bird,2
A goldfinch,flies.,goldfinch,bird,2
A parrot,flies.,parrot,bird,2
A sandpiper,flies.,sandpiper,bird,2
A pheasant,flies.,pheasant,bird,2
A catbird,flies.,catbird,bird,2
A crane,flies.,crane,bird,2
An albatross,flies.,albatross,bird,2
A condor,flies.,condor,bird,2
A toucan,flies.,toucan,bird,2
An owl,flies.,owl,bird,2
A pelican,flies.,pelican,bird,2
A goose,flies.,goose,bird,2
A vulture,flies.,vulture,bird,2
A stork,flies.,stork,bird,2
A buzzard,flies.,buzzard,bird,2
A swan,flies.,swan,bird,2
A flamingo,flies.,flamingo,bird,2
A duck,flies.,duck,bird,2
A peacock,flies.,peacock,bird,2
An egret,flies.,egret,bird,2
A chicken,flies.,chicken,bird,2
A turkey,flies.,turkey,bird,2
An ostrich,flies.,ostrich,bird,2
A titmouse,flies.,titmouse,bird,2
An emu,flies.,emu,bird,2
A penguin,flies.,penguin,bird,2
A bat,flies.,bat,bird,2
A robin,has feathers.,robin,bird,3
A sparrow,has feathers.,sparrow,bird,3
A bluejay,has feathers.,bluejay,bird,3
A bluebird,has feathers.,bluebird,bird,3
A canary,has feathers.,canary,bird,3
A blackbird,has feathers.,blackbird,bird,3
A dove,has feathers.,dove,bird,3
A lark,has feathers.,lark,bird,3
A swallow,has feathers.,swallow,bird,3
A parakeet,has feathers.,parakeet,bird,3
An oriole,has feathers.,oriole,bird,3
A mockingbird,has feathers.,mockingbird,bird,3
A redbird,has feathers.,redbird,bird,3
A wren,has feathers.,wren,bird,3
A finch,has feathers.,finch,bird,3
A starling,has feathers.,starling,bird,3
A cardinal,has feathers.,cardinal,bird,3
An eagle,has feathers.,eagle,bird,3
A hummingbird,has feathers.,hummingbird,bird,3
A seagull,has feathers.,seagull,bird,3
A woodpecker,has feathers.,woodpecker,bird,3
A pigeon,has feathers.,pigeon,bird,3
A thrush,has feathers.,thrush,bird,3
A falcon,has feathers.,falcon,bird,3
A crow,has feathers.,crow,bird,3
A hawk,has feathers.,hawk,bird,3
A raven,has feathers.,raven,bird,3
A goldfinch,has feathers.,goldfinch,bird,3
A parrot,has feathers.,parrot,bird,3
A sandpiper,has feathers.,sandpiper,bird,3
A pheasant,has feathers.,pheasant,bird,3
A catbird,has feathers.,catbird,bird,3
A crane,has feathers.,crane,bird,3
An albatross,has feathers.,albatross,bird,3
A condor,has feathers.,condor,bird,3
A toucan,has feathers.,toucan,bird,3
An owl,has feathers.,owl,bird,3
A pelican,has feathers.,pelican,bird,3
A goose,has feathers.,goose,bird,3
A vulture,has feathers.,vulture,bird,3
A stork,has feathers.,stork,bird,3
A buzzard,has feathers.,buzzard,bird,3
A swan,has feathers.,swan,bird,3
A flamingo,has feathers.,flamingo,bird,3
A duck,has feathers.,duck,bird,3
A peacock,has feathers.,peacock,bird,3
An egret,has feathers.,egret,bird,3
A chicken,has feathers.,chicken,bird,3
A turkey,has feathers.,turkey,bird,3
An ostrich,has feathers.,ostrich,bird,3
A titmouse,has feathers.,titmouse,bird,3
An emu,has feathers.,emu,bird,3
A penguin,has feathers.,penguin,bird,3
A bat,has feathers.,bat,bird,3
A robin,has a beak.,robin,bird,4
A sparrow,has a beak.,sparrow,bird,4
A bluejay,has a beak.,bluejay,bird,4
A bluebird,has a beak.,bluebird,bird,4
A canary,has a beak.,canary,bird,4
A blackbird,has a beak.,blackbird,bird,4
A dove,has a beak.,dove,bird,4
A lark,has a beak.,lark,bird,4
A swallow,has a beak.,swallow,bird,4
A parakeet,has a beak.,parakeet,bird,4
An oriole,has a beak.,oriole,bird,4
A mockingbird,has a beak.,mockingbird,bird,4
A redbird,has a beak.,redbird,bird,4
A wren,has a beak.,wren,bird,4
A finch,has a beak.,finch,bird,4
A starling,has a beak.,starling,bird,4
A cardinal,has a beak.,cardinal,bird,4
An eagle,has a beak.,eagle,bird,4
A hummingbird,has a beak.,hummingbird,bird,4
A seagull,has a beak.,seagull,bird,4
A woodpecker,has a beak.,woodpecker,bird,4
A pigeon,has a beak.,pigeon,bird,4
A thrush,has a beak.,thrush,bird,4
A falcon,has a beak.,falcon,bird,4
A crow,has a beak.,crow,bird,4
A hawk,has a beak.,hawk,bird,4
A raven,has a beak.,raven,bird,4
A goldfinch,has a beak.,goldfinch,bird,4
A parrot,has a beak.,parrot,bird,4
A sandpiper,has a beak.,sandpiper,bird,4
A pheasant,has a beak.,pheasant,bird,4
A catbird,has a beak.,catbird,bird,4
A crane,has a beak.,crane,bird,4
An albatross,has a beak.,albatross,bird,4
A condor,has a beak.,condor,bird,4
A toucan,has a beak.,toucan,bird,4
An owl,has a beak.,owl,bird,4
A pelican,has a beak.,pelican,bird,4
A goose,has a beak.,goose,bird,4
A vulture,has a beak.,vulture,bird,4
A stork,has a beak.,stork,bird,4
A buzzard,has a beak.,buzzard,bird,4
A swan,has a beak.,swan,bird,4
A flamingo,has a beak.,flamingo,bird,4
A duck,has a beak.,duck,bird,4
A peacock,has a beak.,peacock,bird,4
An egret,has a beak.,egret,bird,4
A chicken,has a beak.,chicken,bird,4
A turkey,has a beak.,turkey,bird,4
An ostrich,has a beak.,ostrich,bird,4
A titmouse,has a beak.,titmouse,bird,4
An emu,has a beak.,emu,bird,4
A penguin,has a beak.,penguin,bird,4
A bat,has a beak.,bat,bird,4
A robin,has a bill.,robin,bird,5
A sparrow,has a bill.,sparrow,bird,5
A bluejay,has a bill.,bluejay,bird,5
A bluebird,has a bill.,bluebird,bird,5
A canary,has a bill.,canary,bird,5
A blackbird,has a bill.,blackbird,bird,5
A dove,has a bill.,dove,bird,5
A lark,has a bill.,lark,bird,5
A swallow,has a bill.,swallow,bird,5
A parakeet,has a bill.,parakeet,bird,5
An oriole,has a bill.,oriole,bird,5
A mockingbird,has a bill.,mockingbird,bird,5
A redbird,has a bill.,redbird,bird,5
A wren,has a bill.,wren,bird,5
A finch,has a bill.,finch,bird,5
A starling,has a bill.,starling,bird,5
A cardinal,has a bill.,cardinal,bird,5
An eagle,has a bill.,eagle,bird,5
A hummingbird,has a bill.,hummingbird,bird,5
A seagull,has a bill.,seagull,bird,5
A woodpecker,has a bill.,woodpecker,bird,5
A pigeon,has a bill.,pigeon,bird,5
A thrush,has a bill.,thrush,bird,5
A falcon,has a bill.,falcon,bird,5
A crow,has a bill.,crow,bird,5
A hawk,has a bill.,hawk,bird,5
A raven,has a bill.,raven,bird,5
A goldfinch,has a bill.,goldfinch,bird,5
A parrot,has a bill.,parrot,bird,5
A sandpiper,has a bill.,sandpiper,bird,5
A pheasant,has a bill.,pheasant,bird,5
A catbird,has a bill.,catbird,bird,5
A crane,has a bill.,crane,bird,5
An albatross,has a bill.,albatross,bird,5
A condor,has a bill.,condor,bird,5
A toucan,has a bill.,toucan,bird,5
An owl,has a bill.,owl,bird,5
A pelican,has a bill.,pelican,bird,5
A goose,has a bill.,goose,bird,5
A vulture,has a bill.,vulture,bird,5
A stork,has a bill.,stork,bird,5
A buzzard,has a bill.,buzzard,bird,5
A swan,has a bill.,swan,bird,5
A flamingo,has a bill.,flamingo,bird,5
A duck,has a bill.,duck,bird,5
A peacock,has a bill.,peacock,bird,5
An egret,has a bill.,egret,bird,5
A chicken,has a bill.,chicken,bird,5
A turkey,has a bill.,turkey,bird,5
An ostrich,has a bill.,ostrich,bird,5
A titmouse,has a bill.,titmouse,bird,5
An emu,has a bill.,emu,bird,5
A penguin,has a bill.,penguin,bird,5
A bat,has a bill.,bat,bird,5
A robin,has wings.,robin,bird,6
A sparrow,has wings.,sparrow,bird,6
A bluejay,has wings.,bluejay,bird,6
A bluebird,has wings.,bluebird,bird,6
A canary,has wings.,canary,bird,6
A blackbird,has wings.,blackbird,bird,6
A dove,has wings.,dove,bird,6
A lark,has wings.,lark,bird,6
A swallow,has wings.,swallow,bird,6
A parakeet,has wings.,parakeet,bird,6
An oriole,has wings.,oriole,bird,6
A mockingbird,has wings.,mockingbird,bird,6
A redbird,has wings.,redbird,bird,6
A wren,has wings.,wren,bird,6
A finch,has wings.,finch,bird,6
A starling,has wings.,starling,bird,6
A cardinal,has wings.,cardinal,bird,6
An eagle,has wings.,eagle,bird,6
A hummingbird,has wings.,hummingbird,bird,6
A seagull,has wings.,seagull,bird,6
A woodpecker,has wings.,woodpecker,bird,6
A pigeon,has wings.,pigeon,bird,6
A thrush,has wings.,thrush,bird,6
A falcon,has wings.,falcon,bird,6
A crow,has wings.,crow,bird,6
A hawk,has wings.,hawk,bird,6
A raven,has wings.,raven,bird,6
A goldfinch,has wings.,goldfinch,bird,6
A parrot,has wings.,parrot,bird,6
A sandpiper,has wings.,sandpiper,bird,6
A pheasant,has wings.,pheasant,bird,6
A catbird,has wings.,catbird,bird,6
A crane,has wings.,crane,bird,6
An albatross,has wings.,albatross,bird,6
A condor,has wings.,condor,bird,6
A toucan,has wings.,toucan,bird,6
An owl,has wings.,owl,bird,6
A pelican,has wings.,pelican,bird,6
A goose,has wings.,goose,bird,6
A vulture,has wings.,vulture,bird,6
A stork,has wings.,stork,bird,6
A buzzard,has wings.,buzzard,bird,6
A swan,has wings.,swan,bird,6
A flamingo,has wings.,flamingo,bird,6
A duck,has wings.,duck,bird,6
A peacock,has wings.,peacock,bird,6
An egret,has wings.,egret,bird,6
A chicken,has wings.,chicken,bird,6
A turkey,has wings.,turkey,bird,6
An ostrich,has wings.,ostrich,bird,6
A titmouse,has wings.,titmouse,bird,6
An emu,has wings.,emu,bird,6
A penguin,has wings.,penguin,bird,6
A bat,has wings.,bat,bird,6
A robin,has legs and feet.,robin,bird,7
A sparrow,has legs and feet.,sparrow,bird,7
A bluejay,has legs and feet.,bluejay,bird,7
A bluebird,has legs and feet.,bluebird,bird,7
A canary,has legs and feet.,canary,bird,7
A blackbird,has legs and feet.,blackbird,bird,7
A dove,has legs and feet.,dove,bird,7
A lark,has legs and feet.,lark,bird,7
A swallow,has legs and feet.,swallow,bird,7
A parakeet,has legs and feet.,parakeet,bird,7
An oriole,has legs and feet.,oriole,bird,7
A mockingbird,has legs and feet.,mockingbird,bird,7
A redbird,has legs and feet.,redbird,bird,7
A wren,has legs and feet.,wren,bird,7
A finch,has legs and feet.,finch,bird,7
A starling,has legs and feet.,starling,bird,7
A cardinal,has legs and feet.,cardinal,bird,7
An eagle,has legs and feet.,eagle,bird,7
A hummingbird,has legs and feet.,hummingbird,bird,7
A seagull,has legs and feet.,seagull,bird,7
A woodpecker,has legs and feet.,woodpecker,bird,7
A pigeon,has legs and feet.,pigeon,bird,7
A thrush,has legs and feet.,thrush,bird,7
A falcon,has legs and feet.,falcon,bird,7
A crow,has legs and feet.,crow,bird,7
A hawk,has legs and feet.,hawk,bird,7
A raven,has legs and feet.,raven,bird,7
A goldfinch,has legs and feet.,goldfinch,bird,7
A parrot,has legs and feet.,parrot,bird,7
A sandpiper,has legs and feet.,sandpiper,bird,7
A pheasant,has legs and feet.,pheasant,bird,7
A catbird,has legs and feet.,catbird,bird,7
A crane,has legs and feet.,crane,bird,7
An albatross,has legs and feet.,albatross,bird,7
A condor,has legs and feet.,condor,bird,7
A toucan,has legs and feet.,toucan,bird,7
An owl,has legs and feet.,owl,bird,7
A pelican,has legs and feet.,pelican,bird,7
A goose,has legs and feet.,goose,bird,7
A vulture,has legs and feet.,vulture,bird,7
A stork,has legs and feet.,stork,bird,7
A buzzard,has legs and feet.,buzzard,bird,7
A swan,has legs and feet.,swan,bird,7
A flamingo,has legs and feet.,flamingo,bird,7
A duck,has legs and feet.,duck,bird,7
A peacock,has legs and feet.,peacock,bird,7
An egret,has legs and feet.,egret,bird,7
A chicken,has legs and feet.,chicken,bird,7
A turkey,has legs and feet.,turkey,bird,7
An ostrich,has legs and feet.,ostrich,bird,7
A titmouse,has legs and feet.,titmouse,bird,7
An emu,has legs and feet.,emu,bird,7
A penguin,has legs and feet.,penguin,bird,7
A bat,has legs and feet.,bat,bird,7
A robin,lays eggs.,robin,bird,8
A sparrow,lays eggs.,sparrow,bird,8
A bluejay,lays eggs.,bluejay,bird,8
A bluebird,lays eggs.,bluebird,bird,8
A canary,lays eggs.,canary,bird,8
A blackbird,lays eggs.,blackbird,bird,8
A dove,lays eggs.,dove,bird,8
A lark,lays eggs.,lark,bird,8
A swallow,lays eggs.,swallow,bird,8
A parakeet,lays eggs.,parakeet,bird,8
An oriole,lays eggs.,oriole,bird,8
A mockingbird,lays eggs.,mockingbird,bird,8
A redbird,lays eggs.,redbird,bird,8
A wren,lays eggs.,wren,bird,8
A finch,lays eggs.,finch,bird,8
A starling,lays eggs.,starling,bird,8
A cardinal,lays eggs.,cardinal,bird,8
An eagle,lays eggs.,eagle,bird,8
A hummingbird,lays eggs.,hummingbird,bird,8
