ppo, pdo, tpo, tdo
the adult purchased the juice for the actor .,the adult purchased the actor the juice .,a brother sent a beer to a champion .,a brother sent a champion a beer .
the employee drew the guitar for the child .,the employee drew the child the guitar .,a partner fed a meal to a champion .,a partner fed a champion a meal .
a winner gave a coffee to an army .,a winner gave an army a coffee .,the woman made the hat for the prince .,the woman made the prince the hat .
a priest purchased a wire for a nurse .,a priest purchased a nurse a wire .,the professor brought the coffee to the corporation .,the professor brought the corporation the coffee .
a corporation designed a book for an administration .,a corporation designed an administration a book .,the daughter sent the hat to the army .,the daughter sent the army the hat .
a manager sold a cigarette to a parent .,a manager sold a parent a cigarette .,the son got the card for the administration .,the son got the administration the card .
a nurse bought a cup for a buddy .,a nurse bought a buddy a cup .,the singer took the log to the actor .,the singer took the actor the log .
a mother saved a candy for a company .,a mother saved a company a candy .,the author took the box to the colonel .,the author took the colonel the box .
the minister purchased the chicken for the army .,the minister purchased the army the chicken .,a guy promised a pot to a daughter .,a guy promised a daughter a pot .
the candidate gave the camera to the singer .,the candidate gave the singer the camera .,a scientist caught a jacket for a minister .,a scientist caught a minister a jacket .
the father made the key for the business .,the father made the business the key .,a mayor gave a ball to a captain .,a mayor gave a captain a ball .
a bishop brought a key to a scientist .,a bishop brought a scientist a key .,the author made the camera for the business .,the author made the business the camera .
an aunt showed a pie to a guest .,an aunt showed a guest a pie .,the champion made the book for the club .,the champion made the club the book .
a prince took a computer to a lawyer .,a prince took a lawyer a computer .,the woman designed the button for the partner .,the woman designed the partner the button .
the guy supplied the glass to the priest .,the guy supplied the priest the glass .,a wife got a bag for a club .,a wife got a club a bag .
the president gave the bell to the army .,the president gave the army the bell .,a bishop caught an instrument for a child .,a bishop caught a child an instrument .
a minister made a telephone for a club .,a minister made a club a telephone .,the man took the ball to the lady .,the man took the lady the ball .
the cousin brought the beer to the partner .,the cousin brought the partner the beer .,a priest bought a chicken for a manager .,a priest bought a manager a chicken .
a doctor gave a coat to a soldier .,a doctor gave a soldier a coat .,the worker designed the cigarette for the king .,the worker designed the king the cigarette .
the mayor sold the card to the band .,the mayor sold the band the card .,a prince kept a box for a lawyer .,a prince kept a lawyer a box .
the employee fed the chicken to the prince .,the employee fed the prince the chicken .,a cop kept a knife for a company .,a cop kept a company a knife .
the priest caught the hat for the attorney .,the priest caught the attorney the hat .,an aunt brought a beer to a business .,an aunt brought a business a beer .
an uncle showed a telephone to an attorney .,an uncle showed an attorney a telephone .,the professor got the juice for the adult .,the professor got the adult the juice .
the mayor delivered the tea for the father .,the mayor delivered the father the tea .,a secretary sold a plate to a band .,a secretary sold a band a plate .
the cousin gave the coffee to the soldier .,the cousin gave the soldier the coffee .,a father purchased a bag for a king .,a father purchased a king a bag .
the lady kept the juice for the administration .,the lady kept the administration the juice .,a priest showed a knife to a singer .,a priest showed a singer a knife .
a winner sold a salad to an administration .,a winner sold an administration a salad .,the doctor kept the coffee for the writer .,the doctor kept the writer the coffee .
the child bought the pot for the secretary .,the child bought the secretary the pot .,a sheriff sent a chocolate to a student .,a sheriff sent a student a chocolate .
the writer supplied the salad to the band .,the writer supplied the band the salad .,a candidate found a beer for a corporation .,a candidate found a corporation a beer .
the king made the cigarette for the doctor .,the king made the doctor the cigarette .,a colonel fed a pie to a buddy .,a colonel fed a buddy a pie .
a husband supplied a candy to an administration .,a husband supplied an administration a candy .,the employer found the tea for the corporation .,the employer found the corporation the tea .
a singer promised a flower to a winner .,a singer promised a winner a flower .,the employee designed the camera for the guy .,the employee designed the guy the camera .
a guest left a salad for a band .,a guest left a band a salad .,the pilot sold the tea to the mother .,the pilot sold the mother the tea .
the princess supplied the beer to the lawyer .,the princess supplied the lawyer the beer .,a colonel saved a newspaper for a band .,a colonel saved a band a newspaper .
the uncle drew the flower for the man .,the uncle drew the man the flower .,a daughter sent a salad to a company .,a daughter sent a company a salad .
the opponent sold the iron to the army .,the opponent sold the army the iron .,a priest got a chocolate for an administration .,a priest got an administration a chocolate .
the champion bought the pie for the son .,the champion bought the son the pie .,a partner promised a beer to an attorney .,a partner promised an attorney a beer .
a buddy sent a chocolate to an army .,a buddy sent an army a chocolate .,the girl saved the juice for the company .,the girl saved the company the juice .
an employee promised a hat to a daughter .,an employee promised a daughter a hat .,the champion purchased the beer for the club .,the champion purchased the club the beer .
