preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-3.4072656631469727, -1.7036328315734863, [-3.393979072570801, -0.013286590576171875]), (-3.6497817039489746, -1.8248908519744873, [-3.6194567680358887, -0.030324935913085938]), (-3.535984992980957, -1.7679924964904785, [-3.4636411666870117, -0.07234382629394531]), (-4.720833778381348, -2.360416889190674, [-4.678627967834473, -0.042205810546875]), (-3.590439796447754, -1.795219898223877, [-3.568324089050293, -0.022115707397460938])]",109514298,bert-base-uncased
A top is a,toy.,top,toy,2,"[(-9.340622901916504, -4.670311450958252, [-9.304455757141113, -0.036167144775390625]), (-8.381242752075195, -4.190621376037598, [-8.255325317382812, -0.1259174346923828]), (-10.652321815490723, -5.326160907745361, [-10.567917823791504, -0.08440399169921875]), (-10.211931228637695, -5.105965614318848, [-10.13050651550293, -0.08142471313476562]), (-8.337778091430664, -4.168889045715332, [-8.265859603881836, -0.07191848754882812])]",109514298,bert-base-uncased
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-3.9013419151306152, -1.9506709575653076, [-3.8720126152038574, -0.029329299926757812]), (-4.69264030456543, -2.346320152282715, [-4.6637420654296875, -0.028898239135742188]), (-3.699679374694824, -1.849839687347412, [-3.652937889099121, -0.046741485595703125]), (-3.6207451820373535, -1.8103725910186768, [-3.585270404815674, -0.03547477722167969]), (-4.635134696960449, -2.3175673484802246, [-4.577832221984863, -0.05730247497558594])]",109514298,bert-base-uncased
A toy soldier is a,toy.,toy soldier,toy,4,"[(-0.6234216690063477, -0.31171083450317383, [-0.2439289093017578, -0.37949275970458984]), (-0.3580617904663086, -0.1790308952331543, [-0.3138895034790039, -0.04417228698730469]), (-0.34908580780029297, -0.17454290390014648, [-0.3171529769897461, -0.031932830810546875]), (-0.5139522552490234, -0.2569761276245117, [-0.4908638000488281, -0.023088455200195312]), (-0.7603435516357422, -0.3801717758178711, [-0.7269859313964844, -0.03335762023925781])]",109514298,bert-base-uncased
A yo-yo is a,toy.,yo-yo,toy,5,"[(-3.931455612182617, -1.9657278060913086, [-3.884775161743164, -0.046680450439453125]), (-5.206881046295166, -2.603440523147583, [-5.14194917678833, -0.06493186950683594]), (-3.4843063354492188, -1.7421531677246094, [-3.455547332763672, -0.028759002685546875]), (-4.837176322937012, -2.418588161468506, [-4.80478572845459, -0.032390594482421875]), (-3.260073661804199, -1.6300368309020996, [-3.225600242614746, -0.034473419189453125])]",109514298,bert-base-uncased
A block is a,toy.,block,toy,6,"[(-11.49313735961914, -5.74656867980957, [-11.456733703613281, -0.036403656005859375]), (-9.985589027404785, -4.992794513702393, [-9.9530668258667, -0.03252220153808594]), (-9.702364921569824, -4.851182460784912, [-9.666237831115723, -0.03612709045410156]), (-9.714933395385742, -4.857466697692871, [-9.70500373840332, -0.009929656982421875]), (-9.215189933776855, -4.607594966888428, [-9.1796236038208, -0.03556632995605469])]",109514298,bert-base-uncased
Marbles are,toys.,marbles,toy,7,"[(-8.404635429382324, -4.202317714691162, [-8.269963264465332, -0.1346721649169922]), (-10.441568374633789, -5.2207841873168945, [-10.31008529663086, -0.1314830780029297]), (-9.528590202331543, -4.7642951011657715, [-9.438509941101074, -0.09008026123046875]), (-7.890666961669922, -3.945333480834961, [-7.658437728881836, -0.23222923278808594]), (-8.846083641052246, -4.423041820526123, [-8.737629890441895, -0.10845375061035156])]",109514298,bert-base-uncased
A rattle is a,toy.,rattle,toy,8,"[(-3.5614867210388184, -1.7807433605194092, [-3.509284496307373, -0.05220222473144531]), (-4.219428062438965, -2.1097140312194824, [-4.198361396789551, -0.021066665649414062]), (-5.661398887634277, -2.8306994438171387, [-5.61075496673584, -0.0506439208984375]), (-3.5500574111938477, -1.7750287055969238, [-3.495295524597168, -0.05476188659667969]), (-5.585999011993408, -2.792999505996704, [-5.550692081451416, -0.03530693054199219])]",109514298,bert-base-uncased
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-2.8337669372558594, -1.4168834686279297, [-2.7963218688964844, -0.037445068359375]), (-2.685943603515625, -1.3429718017578125, [-2.6480064392089844, -0.037937164306640625]), (-3.6413283348083496, -1.8206641674041748, [-3.6218276023864746, -0.019500732421875]), (-3.0740699768066406, -1.5370349884033203, [-3.05035400390625, -0.023715972900390625]), (-2.0465335845947266, -1.0232667922973633, [-2.0106773376464844, -0.03585624694824219])]",109514298,bert-base-uncased
A water pistol is a,toy.,water pistol,toy,10,"[(-8.471546173095703, -4.235773086547852, [-8.453916549682617, -0.017629623413085938]), (-5.836157321929932, -2.918078660964966, [-5.825445652008057, -0.010711669921875]), (-6.3343400955200195, -3.1671700477600098, [-6.309475898742676, -0.02486419677734375]), (-7.867739200592041, -3.9338696002960205, [-7.831060886383057, -0.036678314208984375]), (-6.750265121459961, -3.3751325607299805, [-6.711881637573242, -0.03838348388671875])]",109514298,bert-base-uncased
A teddy bear is a,toy.,teddy bear,toy,11,"[(-3.3812975883483887, -1.6906487941741943, [-3.3262953758239746, -0.05500221252441406]), (-0.5883598327636719, -0.29417991638183594, [-0.5613479614257812, -0.027011871337890625]), (-2.099095344543457, -1.0495476722717285, [-2.0662355422973633, -0.03285980224609375]), (-2.616485595703125, -1.3082427978515625, [-2.5961570739746094, -0.020328521728515625]), (-3.935011863708496, -1.967505931854248, [-3.911038398742676, -0.023973464965820312])]",109514298,bert-base-uncased
