preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-8.36346435546875, -4.181732177734375, [-5.331581115722656, -3.0318832397460938]), (-7.079654693603516, -3.539827346801758, [-4.364936828613281, -2.7147178649902344]), (-7.413516998291016, -3.706758499145508, [-5.126777648925781, -2.2867393493652344]), (-7.31561279296875, -3.657806396484375, [-4.803745269775391, -2.5118675231933594]), (-8.661895751953125, -4.3309478759765625, [-5.287647247314453, -3.374248504638672])]",81912576,distilgpt2
A top is a,toy.,top,toy,2,"[(-10.74660873413086, -5.37330436706543, [-8.044185638427734, -2.702423095703125]), (-10.787185668945312, -5.393592834472656, [-8.20749282836914, -2.579692840576172]), (-11.514678955078125, -5.7573394775390625, [-8.183174133300781, -3.3315048217773438]), (-10.552482604980469, -5.276241302490234, [-8.128372192382812, -2.4241104125976562]), (-11.305076599121094, -5.652538299560547, [-8.320606231689453, -2.9844703674316406])]",81912576,distilgpt2
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-9.690528869628906, -4.845264434814453, [-6.212409973144531, -3.478118896484375]), (-9.28756332397461, -4.643781661987305, [-6.547523498535156, -2.740039825439453]), (-8.662246704101562, -4.331123352050781, [-5.643592834472656, -3.0186538696289062]), (-10.971260070800781, -5.485630035400391, [-7.3410186767578125, -3.6302413940429688]), (-9.340682983398438, -4.670341491699219, [-6.950305938720703, -2.3903770446777344])]",81912576,distilgpt2
A toy soldier is a,toy.,toy soldier,toy,4,"[(-10.954917907714844, -5.477458953857422, [-6.18133544921875, -4.773582458496094]), (-7.549968719482422, -3.774984359741211, [-3.6354598999023438, -3.914508819580078]), (-8.924182891845703, -4.462091445922852, [-6.0971527099609375, -2.8270301818847656]), (-7.272857666015625, -3.6364288330078125, [-4.8490142822265625, -2.4238433837890625]), (-9.173713684082031, -4.586856842041016, [-5.316871643066406, -3.856842041015625])]",81912576,distilgpt2
A yo-yo is a,toy.,yo-yo,toy,5,"[(-10.574176788330078, -5.287088394165039, [-6.2885589599609375, -4.285617828369141]), (-9.947891235351562, -4.973945617675781, [-6.105415344238281, -3.8424758911132812]), (-10.343395233154297, -5.171697616577148, [-7.278587341308594, -3.064807891845703]), (-9.533756256103516, -4.766878128051758, [-7.232124328613281, -2.3016319274902344]), (-9.426383972167969, -4.713191986083984, [-7.3344268798828125, -2.0919570922851562])]",81912576,distilgpt2
A block is a,toy.,block,toy,6,"[(-13.445755004882812, -6.722877502441406, [-10.022705078125, -3.4230499267578125]), (-12.367935180664062, -6.183967590332031, [-9.622627258300781, -2.7453079223632812]), (-12.109222412109375, -6.0546112060546875, [-9.021961212158203, -3.087261199951172]), (-12.310478210449219, -6.155239105224609, [-9.335746765136719, -2.9747314453125]), (-13.010513305664062, -6.505256652832031, [-9.722808837890625, -3.2877044677734375])]",81912576,distilgpt2
Marbles are,toys.,marbles,toy,7,"[(-14.177207946777344, -7.088603973388672, [-11.886917114257812, -2.2902908325195312]), (-12.4827880859375, -6.24139404296875, [-10.666561126708984, -1.8162269592285156]), (-13.590423583984375, -6.7952117919921875, [-11.847099304199219, -1.7433242797851562]), (-12.483863830566406, -6.241931915283203, [-10.921863555908203, -1.5620002746582031]), (-12.960731506347656, -6.480365753173828, [-11.209911346435547, -1.7508201599121094])]",81912576,distilgpt2
A rattle is a,toy.,rattle,toy,8,"[(-11.09421157836914, -5.54710578918457, [-8.342613220214844, -2.751598358154297]), (-11.67373275756836, -5.83686637878418, [-9.18313217163086, -2.4906005859375]), (-10.289077758789062, -5.144538879394531, [-7.430957794189453, -2.8581199645996094]), (-11.031658172607422, -5.515829086303711, [-8.228404998779297, -2.803253173828125]), (-11.282024383544922, -5.641012191772461, [-8.248603820800781, -3.0334205627441406])]",81912576,distilgpt2
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-9.154560089111328, -4.577280044555664, [-6.5877532958984375, -2.5668067932128906]), (-8.451332092285156, -4.225666046142578, [-6.282585144042969, -2.1687469482421875]), (-8.010124206542969, -4.005062103271484, [-6.724800109863281, -1.2853240966796875]), (-7.846355438232422, -3.923177719116211, [-5.387382507324219, -2.458972930908203]), (-8.788265228271484, -4.394132614135742, [-6.119441986083984, -2.6688232421875])]",81912576,distilgpt2
A water pistol is a,toy.,water pistol,toy,10,"[(-8.846382141113281, -4.423191070556641, [-6.881473541259766, -1.9649085998535156]), (-7.903926849365234, -3.951963424682617, [-6.339672088623047, -1.5642547607421875]), (-8.11907958984375, -4.059539794921875, [-6.033699035644531, -2.0853805541992188]), (-9.1806640625, -4.59033203125, [-6.200923919677734, -2.9797401428222656]), (-8.194297790527344, -4.097148895263672, [-5.643745422363281, -2.5505523681640625])]",81912576,distilgpt2
