preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-3.8994321823120117, -1.9497160911560059, [-2.832139015197754, -1.0672931671142578])",66985530,distilbert-base-uncased
A top is a,toy.,top,toy,2,"(-10.823694229125977, -5.411847114562988, [-9.834569931030273, -0.9891242980957031])",66985530,distilbert-base-uncased
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-4.056354522705078, -2.028177261352539, [-3.2138404846191406, -0.8425140380859375])",66985530,distilbert-base-uncased
A toy soldier is a,toy.,toy soldier,toy,4,"(-2.311643600463867, -1.1558218002319336, [-1.3787059783935547, -0.9329376220703125])",66985530,distilbert-base-uncased
A yo-yo is a,toy.,yo-yo,toy,5,"(-6.0435309410095215, -3.0217654705047607, [-5.161978244781494, -0.8815526962280273])",66985530,distilbert-base-uncased
A block is a,toy.,block,toy,6,"(-11.214978218078613, -5.607489109039307, [-10.535926818847656, -0.679051399230957])",66985530,distilbert-base-uncased
Marbles are,toys.,marbles,toy,7,"(-11.947393417358398, -5.973696708679199, [-11.47219181060791, -0.4752016067504883])",66985530,distilbert-base-uncased
A rattle is a,toy.,rattle,toy,8,"(-6.7551751136779785, -3.3775875568389893, [-6.017086505889893, -0.7380886077880859])",66985530,distilbert-base-uncased
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-2.8170251846313477, -1.4085125923156738, [-2.165853500366211, -0.6511716842651367])",66985530,distilbert-base-uncased
A water pistol is a,toy.,water pistol,toy,10,"(-10.620549201965332, -5.310274600982666, [-8.814918518066406, -1.8056306838989258])",66985530,distilbert-base-uncased
A teddy bear is a,toy.,teddy bear,toy,11,"(-2.5771913528442383, -1.2885956764221191, [-1.8947277069091797, -0.6824636459350586])",66985530,distilbert-base-uncased
A rocking horse is a,toy.,rocking horse,toy,12,"(-5.887320518493652, -2.943660259246826, [-4.878150939941406, -1.009169578552246])",66985530,distilbert-base-uncased
A doll house is a,toy.,doll house,toy,13,"(-4.004688262939453, -2.0023441314697266, [-2.81717586517334, -1.1875123977661133])",66985530,distilbert-base-uncased
A ball is a,toy.,ball,toy,14,"(-6.672061443328857, -3.3360307216644287, [-5.871461391448975, -0.8006000518798828])",66985530,distilbert-base-uncased
Jacks are,toys.,jacks,toy,15,"(-6.751111030578613, -3.3755555152893066, [-6.213340759277344, -0.5377702713012695])",66985530,distilbert-base-uncased
Paper dolls are,toys.,paper dolls,toy,16,"(-5.269989490509033, -2.6349947452545166, [-5.021069049835205, -0.24892044067382812])",66985530,distilbert-base-uncased
An erector set is a,toy.,erector set,toy,17,"(-6.632951736450195, -3.3164758682250977, [-5.818840026855469, -0.8141117095947266])",66985530,distilbert-base-uncased
A hula hoop is a,toy.,hula hoop,toy,18,"(-5.367141246795654, -2.683570623397827, [-4.914977550506592, -0.4521636962890625])",66985530,distilbert-base-uncased
A jump rope is a,toy.,jump rope,toy,19,"(-7.840460777282715, -3.9202303886413574, [-7.295231819152832, -0.5452289581298828])",66985530,distilbert-base-uncased
A pogo stick is a,toy.,pogo stick,toy,20,"(-3.485232353210449, -1.7426161766052246, [-2.91599178314209, -0.5692405700683594])",66985530,distilbert-base-uncased
A clay is a,toy.,clay,toy,21,"(-8.894279479980469, -4.447139739990234, [-8.118282318115234, -0.7759971618652344])",66985530,distilbert-base-uncased
A wagon is a,toy.,wagon,toy,22,"(-7.137222766876221, -3.5686113834381104, [-6.254631519317627, -0.8825912475585938])",66985530,distilbert-base-uncased
A kite is a,toy.,kite,toy,23,"(-6.918854713439941, -3.4594273567199707, [-6.324185371398926, -0.5946693420410156])",66985530,distilbert-base-uncased
A train is a,toy.,train,toy,24,"(-8.185662746429443, -4.092831373214722, [-6.409840106964111, -1.775822639465332])",66985530,distilbert-base-uncased
A tricycle is a,toy.,tricycle,toy,25,"(-7.189481258392334, -3.594740629196167, [-6.643252849578857, -0.5462284088134766])",66985530,distilbert-base-uncased
