preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-4.185229301452637, -2.0926146507263184, [-3.025631904602051, -1.159597396850586]), (-3.5957555770874023, -1.7978777885437012, [-2.92801570892334, -0.6677398681640625]), (-4.439815998077393, -2.2199079990386963, [-3.7567811012268066, -0.6830348968505859]), (-4.271780967712402, -2.135890483856201, [-3.401042938232422, -0.8707380294799805]), (-3.84930419921875, -1.924652099609375, [-3.1055212020874023, -0.7437829971313477])]",66985530,distilbert-base-uncased
A top is a,toy.,top,toy,2,"[(-11.33796215057373, -5.668981075286865, [-10.04182243347168, -1.2961397171020508]), (-9.758217811584473, -4.879108905792236, [-8.864703178405762, -0.8935146331787109]), (-10.087164878845215, -5.043582439422607, [-9.067256927490234, -1.0199079513549805]), (-10.549776077270508, -5.274888038635254, [-9.647771835327148, -0.9020042419433594]), (-10.57623291015625, -5.288116455078125, [-9.172381401062012, -1.4038515090942383])]",66985530,distilbert-base-uncased
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-4.960659503936768, -2.480329751968384, [-4.302957057952881, -0.6577024459838867]), (-4.862790107727051, -2.4313950538635254, [-4.090548515319824, -0.7722415924072266]), (-5.447458744049072, -2.723729372024536, [-4.5378737449646, -0.9095849990844727]), (-4.957738399505615, -2.4788691997528076, [-4.194310665130615, -0.763427734375]), (-4.494079113006592, -2.247039556503296, [-3.780428409576416, -0.7136507034301758])]",66985530,distilbert-base-uncased
A toy soldier is a,toy.,toy soldier,toy,4,"[(-1.6936960220336914, -0.8468480110168457, [-1.1001605987548828, -0.5935354232788086]), (-0.982691764831543, -0.4913458824157715, [-0.48031044006347656, -0.5023813247680664]), (-2.127420425415039, -1.0637102127075195, [-1.640542984008789, -0.48687744140625]), (-1.8104486465454102, -0.9052243232727051, [-0.7641477584838867, -1.0463008880615234]), (-2.8010005950927734, -1.4005002975463867, [-0.8902578353881836, -1.9107427597045898])]",66985530,distilbert-base-uncased
A yo-yo is a,toy.,yo-yo,toy,5,"[(-5.350464820861816, -2.675232410430908, [-4.736444473266602, -0.6140203475952148]), (-6.675439357757568, -3.337719678878784, [-5.1987128257751465, -1.4767265319824219]), (-5.214212417602539, -2.6071062088012695, [-4.57829475402832, -0.6359176635742188]), (-4.709869384765625, -2.3549346923828125, [-4.069457054138184, -0.6404123306274414]), (-5.587059020996094, -2.793529510498047, [-4.628432273864746, -0.9586267471313477])]",66985530,distilbert-base-uncased
A block is a,toy.,block,toy,6,"[(-11.41139030456543, -5.705695152282715, [-10.533127784729004, -0.8782625198364258]), (-11.687591552734375, -5.8437957763671875, [-11.091877937316895, -0.5957136154174805]), (-10.623470306396484, -5.311735153198242, [-10.14062213897705, -0.4828481674194336]), (-12.12057113647461, -6.060285568237305, [-11.686991691589355, -0.4335794448852539]), (-12.461838722229004, -6.230919361114502, [-11.763338088989258, -0.6985006332397461])]",66985530,distilbert-base-uncased
Marbles are,toys.,marbles,toy,7,"[(-10.938977241516113, -5.469488620758057, [-10.493498802185059, -0.4454784393310547]), (-11.37081527709961, -5.685407638549805, [-10.572643280029297, -0.7981719970703125]), (-13.013396263122559, -6.506698131561279, [-12.102092742919922, -0.9113035202026367]), (-10.311915397644043, -5.1559576988220215, [-9.845695495605469, -0.4662199020385742]), (-11.017065048217773, -5.508532524108887, [-10.559368133544922, -0.45769691467285156])]",66985530,distilbert-base-uncased
A rattle is a,toy.,rattle,toy,8,"[(-6.724648475646973, -3.3623242378234863, [-5.911121368408203, -0.8135271072387695]), (-6.916718006134033, -3.4583590030670166, [-6.102415561676025, -0.8143024444580078]), (-6.738236904144287, -3.3691184520721436, [-6.061034679412842, -0.6772022247314453]), (-7.13156270980835, -3.565781354904175, [-6.163259983062744, -0.9683027267456055]), (-7.700204372406006, -3.850102186203003, [-6.802988529205322, -0.8972158432006836])]",66985530,distilbert-base-uncased
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-3.2237071990966797, -1.6118535995483398, [-2.953127861022949, -0.27057933807373047]), (-3.0413713455200195, -1.5206856727600098, [-2.583688735961914, -0.45768260955810547]), (-4.0027971267700195, -2.0013985633850098, [-3.696042060852051, -0.30675506591796875]), (-2.3064565658569336, -1.1532282829284668, [-1.6295108795166016, -0.676945686340332]), (-3.459151268005371, -1.7295756340026855, [-2.786365509033203, -0.672785758972168])]",66985530,distilbert-base-uncased
A water pistol is a,toy.,water pistol,toy,10,"[(-9.132932662963867, -4.566466331481934, [-7.952280044555664, -1.1806526184082031]), (-10.119135856628418, -5.059567928314209, [-8.529376983642578, -1.5897588729858398]), (-9.36531925201416, -4.68265962600708, [-8.318717956542969, -1.0466012954711914]), (-8.204751014709473, -4.102375507354736, [-6.753198623657227, -1.451552391052246]), (-9.80215072631836, -4.90107536315918, [-8.51723861694336, -1.284912109375])]",66985530,distilbert-base-uncased
