preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-5.611595153808594, -2.805797576904297, [-3.1949691772460938, -2.4166259765625]), (-5.184547424316406, -2.592273712158203, [-3.4779815673828125, -1.7065658569335938]), (-6.125099182128906, -3.062549591064453, [-3.8772964477539062, -2.247802734375]), (-5.391990661621094, -2.695995330810547, [-3.193023681640625, -2.1989669799804688]), (-4.105339050292969, -2.0526695251464844, [-2.5235977172851562, -1.5817413330078125])]",354823168,gpt2-medium
A top is a,toy.,top,toy,2,"[(-9.695526123046875, -4.8477630615234375, [-8.152542114257812, -1.5429840087890625]), (-9.947952270507812, -4.973976135253906, [-8.276687622070312, -1.6712646484375]), (-10.263275146484375, -5.1316375732421875, [-8.780975341796875, -1.4822998046875]), (-9.857688903808594, -4.928844451904297, [-7.928070068359375, -1.9296188354492188]), (-10.621498107910156, -5.310749053955078, [-8.618560791015625, -2.0029373168945312])]",354823168,gpt2-medium
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-9.5799560546875, -4.78997802734375, [-6.3099212646484375, -3.2700347900390625]), (-10.487541198730469, -5.243770599365234, [-6.183525085449219, -4.30401611328125]), (-10.137161254882812, -5.068580627441406, [-5.403205871582031, -4.733955383300781]), (-10.198760986328125, -5.0993804931640625, [-5.882423400878906, -4.316337585449219]), (-9.754318237304688, -4.877159118652344, [-5.7133331298828125, -4.040985107421875])]",354823168,gpt2-medium
A toy soldier is a,toy.,toy soldier,toy,4,"[(-5.8531341552734375, -2.9265670776367188, [-2.6510009765625, -3.2021331787109375]), (-6.309104919433594, -3.154552459716797, [-2.7780532836914062, -3.5310516357421875]), (-4.385307312011719, -2.1926536560058594, [-1.9078216552734375, -2.4774856567382812]), (-5.486793518066406, -2.743396759033203, [-2.6515884399414062, -2.835205078125]), (-5.73016357421875, -2.865081787109375, [-2.0838394165039062, -3.6463241577148438])]",354823168,gpt2-medium
A yo-yo is a,toy.,yo-yo,toy,5,"[(-9.251327514648438, -4.625663757324219, [-5.3959808349609375, -3.8553466796875]), (-8.1134033203125, -4.05670166015625, [-4.131736755371094, -3.9816665649414062]), (-7.891197204589844, -3.945598602294922, [-4.799263000488281, -3.0919342041015625]), (-7.852935791015625, -3.9264678955078125, [-4.1978912353515625, -3.6550445556640625]), (-6.705513000488281, -3.3527565002441406, [-4.072296142578125, -2.6332168579101562])]",354823168,gpt2-medium
A block is a,toy.,block,toy,6,"[(-12.395790100097656, -6.197895050048828, [-10.330490112304688, -2.0652999877929688]), (-12.207595825195312, -6.103797912597656, [-9.986862182617188, -2.220733642578125]), (-12.540420532226562, -6.270210266113281, [-10.638496398925781, -1.9019241333007812]), (-11.921722412109375, -5.9608612060546875, [-10.290946960449219, -1.6307754516601562]), (-12.119888305664062, -6.059944152832031, [-9.622077941894531, -2.4978103637695312])]",354823168,gpt2-medium
Marbles are,toys.,marbles,toy,7,"[(-11.804786682128906, -5.902393341064453, [-9.705307006835938, -2.0994796752929688]), (-11.130668640136719, -5.565334320068359, [-9.17950439453125, -1.9511642456054688]), (-13.124252319335938, -6.562126159667969, [-10.690147399902344, -2.4341049194335938]), (-11.842819213867188, -5.921409606933594, [-9.564445495605469, -2.2783737182617188]), (-13.006813049316406, -6.503406524658203, [-10.527084350585938, -2.4797286987304688])]",354823168,gpt2-medium
A rattle is a,toy.,rattle,toy,8,"[(-9.405632019042969, -4.702816009521484, [-6.914863586425781, -2.4907684326171875]), (-10.00579833984375, -5.002899169921875, [-7.6436767578125, -2.36212158203125]), (-8.825271606445312, -4.412635803222656, [-6.916343688964844, -1.9089279174804688]), (-8.524345397949219, -4.262172698974609, [-6.491546630859375, -2.0327987670898438]), (-10.47259521484375, -5.236297607421875, [-7.503715515136719, -2.9688796997070312])]",354823168,gpt2-medium
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-7.888633728027344, -3.944316864013672, [-5.829032897949219, -2.059600830078125]), (-7.044219970703125, -3.5221099853515625, [-4.361610412597656, -2.6826095581054688]), (-6.3445892333984375, -3.1722946166992188, [-4.263542175292969, -2.0810470581054688]), (-7.770118713378906, -3.885059356689453, [-4.3626251220703125, -3.4074935913085938]), (-7.27777099609375, -3.638885498046875, [-4.565620422363281, -2.7121505737304688])]",354823168,gpt2-medium
A water pistol is a,toy.,water pistol,toy,10,"[(-10.053245544433594, -5.026622772216797, [-6.989166259765625, -3.0640792846679688]), (-10.702125549316406, -5.351062774658203, [-6.765220642089844, -3.9369049072265625]), (-10.641021728515625, -5.3205108642578125, [-6.4368896484375, -4.204132080078125]), (-9.381324768066406, -4.690662384033203, [-6.3775787353515625, -3.0037460327148438]), (-10.906044006347656, -5.453022003173828, [-5.7350311279296875, -5.171012878417969])]",354823168,gpt2-medium
