preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-3.497211456298828, -1.748605728149414, [-3.4365062713623047, -0.06070518493652344]), (-4.811373710632324, -2.405686855316162, [-4.733883857727051, -0.07748985290527344]), (-4.238933563232422, -2.119466781616211, [-4.117685317993164, -0.12124824523925781]), (-3.813688278198242, -1.906844139099121, [-3.761882781982422, -0.05180549621582031]), (-2.191202163696289, -1.0956010818481445, [-2.1661758422851562, -0.025026321411132812])]",124697433,roberta-base
A top is a,toy.,top,toy,2,"[(-7.825104713439941, -3.9125523567199707, [-7.380280494689941, -0.44482421875]), (-10.399417877197266, -5.199708938598633, [-10.088058471679688, -0.3113594055175781]), (-9.371111869812012, -4.685555934906006, [-9.247170448303223, -0.12394142150878906]), (-10.535482406616211, -5.2677412033081055, [-10.3221435546875, -0.21333885192871094]), (-8.745607376098633, -4.372803688049316, [-8.360113143920898, -0.3854942321777344])]",124697433,roberta-base
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-4.37755012512207, -2.188775062561035, [-3.9222049713134766, -0.45534515380859375]), (-4.364554405212402, -2.182277202606201, [-3.9882287979125977, -0.3763256072998047]), (-3.625049591064453, -1.8125247955322266, [-3.4393463134765625, -0.18570327758789062]), (-5.233534812927246, -2.616767406463623, [-4.98006534576416, -0.25346946716308594]), (-4.893951416015625, -2.4469757080078125, [-4.644725799560547, -0.24922561645507812])]",124697433,roberta-base
A toy soldier is a,toy.,toy soldier,toy,4,"[(-8.71042251586914, -4.35521125793457, [-1.3235139846801758, -7.386908531188965]), (-3.0643749237060547, -1.5321874618530273, [-2.7236833572387695, -0.34069156646728516]), (-2.3878841400146484, -1.1939420700073242, [-0.4744873046875, -1.9133968353271484]), (-4.600064277648926, -2.300032138824463, [-0.9057579040527344, -3.6943063735961914]), (-1.431558609008789, -0.7157793045043945, [-0.05176734924316406, -1.379791259765625])]",124697433,roberta-base
A yo-yo is a,toy.,yo-yo,toy,5,"[(-5.634589195251465, -2.8172945976257324, [-5.467846870422363, -0.16674232482910156]), (-5.4108781814575195, -2.7054390907287598, [-5.347611427307129, -0.06326675415039062]), (-4.116344451904297, -2.0581722259521484, [-3.9869232177734375, -0.12942123413085938]), (-3.3142881393432617, -1.6571440696716309, [-3.2654008865356445, -0.04888725280761719]), (-4.409665107727051, -2.2048325538635254, [-4.255558967590332, -0.15410614013671875])]",124697433,roberta-base
A block is a,toy.,block,toy,6,"[(-9.765499114990234, -4.882749557495117, [-9.462919235229492, -0.3025798797607422]), (-9.906876564025879, -4.9534382820129395, [-9.592198371887207, -0.3146781921386719]), (-9.198866844177246, -4.599433422088623, [-9.147854804992676, -0.05101203918457031]), (-8.823391914367676, -4.411695957183838, [-8.7781400680542, -0.04525184631347656]), (-12.451679229736328, -6.225839614868164, [-12.27446174621582, -0.1772174835205078])]",124697433,roberta-base
Marbles are,toys.,marbles,toy,7,"[(-8.49636459350586, -4.24818229675293, [-8.296688079833984, -0.199676513671875]), (-9.029251098632812, -4.514625549316406, [-8.845626831054688, -0.183624267578125]), (-6.799740791320801, -3.3998703956604004, [-6.62992000579834, -0.16982078552246094]), (-9.399375915527344, -4.699687957763672, [-8.687638282775879, -0.7117376327514648]), (-6.270265579223633, -3.1351327896118164, [-5.958564758300781, -0.31170082092285156])]",124697433,roberta-base
A rattle is a,toy.,rattle,toy,8,"[(-6.955698013305664, -3.477849006652832, [-6.5839385986328125, -0.37175941467285156]), (-5.340293884277344, -2.670146942138672, [-5.264026641845703, -0.07626724243164062]), (-5.069993019104004, -2.534996509552002, [-4.947108268737793, -0.12288475036621094]), (-5.970327377319336, -2.985163688659668, [-5.943262100219727, -0.027065277099609375]), (-6.210299491882324, -3.105149745941162, [-5.956406593322754, -0.2538928985595703])]",124697433,roberta-base
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-2.813711166381836, -1.406855583190918, [-2.77490234375, -0.03880882263183594]), (-3.5975780487060547, -1.7987890243530273, [-3.1930999755859375, -0.4044780731201172]), (-2.135984420776367, -1.0679922103881836, [-2.113983154296875, -0.022001266479492188]), (-4.334891319274902, -2.167445659637451, [-4.284285545349121, -0.05060577392578125]), (-2.699612617492676, -1.349806308746338, [-2.628085136413574, -0.07152748107910156])]",124697433,roberta-base
A water pistol is a,toy.,water pistol,toy,10,"[(-6.987154006958008, -3.493577003479004, [-6.530290603637695, -0.4568634033203125]), (-5.152976036071777, -2.5764880180358887, [-5.0579118728637695, -0.09506416320800781]), (-6.021632194519043, -3.0108160972595215, [-5.920989036560059, -0.10064315795898438]), (-4.706596374511719, -2.3532981872558594, [-4.081302642822266, -0.6252937316894531]), (-5.987855911254883, -2.9939279556274414, [-5.678064346313477, -0.30979156494140625])]",124697433,roberta-base
