preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-2.392324447631836, -1.196162223815918, [-2.3440780639648438, -0.04824638366699219])",335174458,bert-large-uncased
A top is a,toy.,top,toy,2,"(-8.802035331726074, -4.401017665863037, [-8.756264686584473, -0.04577064514160156])",335174458,bert-large-uncased
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-3.697165012359619, -1.8485825061798096, [-3.678234577178955, -0.018930435180664062])",335174458,bert-large-uncased
A toy soldier is a,toy.,toy soldier,toy,4,"(-0.4203615188598633, -0.21018075942993164, [-0.38411426544189453, -0.03624725341796875])",335174458,bert-large-uncased
A yo-yo is a,toy.,yo-yo,toy,5,"(-3.492070198059082, -1.746035099029541, [-3.4717187881469727, -0.020351409912109375])",335174458,bert-large-uncased
A block is a,toy.,block,toy,6,"(-11.00033187866211, -5.500165939331055, [-10.96783447265625, -0.032497406005859375])",335174458,bert-large-uncased
Marbles are,toys.,marbles,toy,7,"(-10.624661445617676, -5.312330722808838, [-10.48688793182373, -0.1377735137939453])",335174458,bert-large-uncased
A rattle is a,toy.,rattle,toy,8,"(-8.344503402709961, -4.1722517013549805, [-8.299844741821289, -0.044658660888671875])",335174458,bert-large-uncased
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-0.31496429443359375, -0.15748214721679688, [-0.2964916229248047, -0.018472671508789062])",335174458,bert-large-uncased
A water pistol is a,toy.,water pistol,toy,10,"(-6.054017066955566, -3.027008533477783, [-6.022355079650879, -0.0316619873046875])",335174458,bert-large-uncased
A teddy bear is a,toy.,teddy bear,toy,11,"(-1.5065994262695312, -0.7532997131347656, [-1.4581928253173828, -0.04840660095214844])",335174458,bert-large-uncased
A rocking horse is a,toy.,rocking horse,toy,12,"(-4.168634414672852, -2.084317207336426, [-4.130001068115234, -0.03863334655761719])",335174458,bert-large-uncased
A doll house is a,toy.,doll house,toy,13,"(-2.916346549987793, -1.4581732749938965, [-2.8719282150268555, -0.0444183349609375])",335174458,bert-large-uncased
A ball is a,toy.,ball,toy,14,"(-5.439629554748535, -2.7198147773742676, [-5.366814613342285, -0.07281494140625])",335174458,bert-large-uncased
Jacks are,toys.,jacks,toy,15,"(-7.93074369430542, -3.96537184715271, [-7.821452617645264, -0.10929107666015625])",335174458,bert-large-uncased
Paper dolls are,toys.,paper dolls,toy,16,"(-9.381863594055176, -4.690931797027588, [-9.24278736114502, -0.13907623291015625])",335174458,bert-large-uncased
An erector set is a,toy.,erector set,toy,17,"(-6.668229103088379, -3.3341145515441895, [-6.654667854309082, -0.013561248779296875])",335174458,bert-large-uncased
